Taken from: Sampling Listing --> CHLORO,,
Sample ID,WEIR-REP,Date
CH190001,W1-T,2019-04-29
CH190002,W1-M,2019-04-29
CH190003,W2-T,2019-04-29
CH190004,W2-M,2019-04-29
CH190005,W3-T,2019-04-29
CH190006,W3-M,2019-04-29
CH190007,W4-T,2019-04-29
CH190008,W4-M,2019-04-29
CH190009,W5-T,2019-04-29
CH190010,W5-M,2019-04-29
CH190011,W6-T,2019-04-29
CH190012,W6-M,2019-04-29
CH190015,W1-T,2019-05-06
CH190016,W1-M,2019-05-06
CH190017,W2-T,2019-05-06
CH190018,W2-M,2019-05-06
CH190019,W3-T,2019-05-06
CH190020,W3-M,2019-05-06
CH190021,W4-T,2019-05-06
CH190022,W4-M,2019-05-06
CH190023,W5-T,2019-05-06
CH190024,W5-M,2019-05-06
CH190025,W6-T,2019-05-06
CH190026,W6-M,2019-05-06
CH190029,W1-T,2019-05-13
CH190030,W1-M,2019-05-13
CH190031,W2-T,2019-05-13
CH190032,W2-M,2019-05-13
CH190033,W3-T,2019-05-13
CH190034,W3-M,2019-05-13
CH190035,W4-T,2019-05-13
CH190036,W4-M,2019-05-13
CH190037,W5-T,2019-05-13
CH190038,W5-M,2019-05-13
CH190039,W6-T,2019-05-13
CH190040,W6-M,2019-05-13
CH190041,W9-T,2019-05-13
CH190042,W9-M,2019-05-13
CH190043,W1-T,2019-05-21
CH190044,W1-M,2019-05-21
CH190045,W2-T,2019-05-21
CH190046,W2-M,2019-05-21
CH190047,W3-T,2019-05-21
CH190048,W3-M,2019-05-21
CH190049,W4-T,2019-05-21
CH190050,W4-M,2019-05-21
CH190051,W5-T,2019-05-21
CH190052,W5-M,2019-05-21
CH190053,W6-T,2019-05-21
CH190054,W6-M,2019-05-21
CH190055,W9-T,2019-05-21
CH190056,W9-M,2019-05-21
CH190057,W1-T,2019-05-28
CH190058,W1-M,2019-05-28
CH190059,W2-T,2019-05-28
CH190060,W2-M,2019-05-28
CH190061,W3-T,2019-05-28
CH190062,W3-M,2019-05-28
CH190063,W4-T,2019-05-28
CH190064,W4-M,2019-05-28
CH190065,W5-T,2019-05-28
CH190066,W5-M,2019-05-28
CH190067,W6-T,2019-05-28
CH190068,W6-M,2019-05-28
CH190069,W9-T,2019-05-28
CH190070,W9-M,2019-05-28
CH190071,W1-T,2019-06-02
CH190072,W1-M,2019-06-02
CH190073,W2-T,2019-06-02
CH190074,W2-M,2019-06-02
CH190075,W3-T,2019-06-02
CH190076,W3-M,2019-06-02
CH190077,W4-T,2019-06-02
CH190078,W4-M,2019-06-02
CH190079,W5-T,2019-06-02
CH190080,W5-M,2019-06-02
CH190081,W6-T,2019-06-02
CH190082,W6-M,2019-06-02
CH190083,W9-T,2019-06-02
CH190084,W9-M,2019-06-02
CH190085,W1-T,2019-06-10
CH190086,W1-M,2019-06-10
CH190087,W2-T,2019-06-10
CH190088,W2-M,2019-06-10
CH190089,W3-T,2019-06-10
CH190090,W3-M,2019-06-10
CH190091,W4-T,2019-06-10
CH190092,W4-M,2019-06-10
CH190093,W5-T,2019-06-10
CH190094,W5-M,2019-06-10
CH190095,W6-T,2019-06-10
CH190096,W6-M,2019-06-10
CH190097,W9-T,2019-06-10
CH190098,W9-M,2019-06-10
CH190099,W1-T,2019-06-17
CH190100,W1-M,2019-06-17
CH190101,W2-T,2019-06-17
CH190102,W2-M,2019-06-17
CH190103,W3-T,2019-06-17
CH190104,W3-M,2019-06-17
CH190105,W4-T,2019-06-17
CH190106,W4-M,2019-06-17
CH190107,W5-T,2019-06-17
CH190108,W5-M,2019-06-17
CH190109,W6-T,2019-06-17
CH190110,W6-M,2019-06-17
CH190111,W9-T,2019-06-17
CH190112,W9-M,2019-06-17
CH190113,W1-T,2019-06-24
CH190114,W1-M,2019-06-24
CH190115,W2-T,2019-06-24
CH190116,W2-M,2019-06-24
CH190117,W3-T,2019-06-24
CH190118,W3-M,2019-06-24
CH190119,W4-T,2019-06-24
CH190120,W4-M,2019-06-24
CH190121,W5-T,2019-06-24
CH190122,W5-M,2019-06-24
CH190123,W6-T,2019-06-24
CH190124,W6-M,2019-06-24
CH190125,W9-T,2019-06-24
CH190126,W9-M,2019-06-24
CH190127,W1-T,2019-07-01
CH190128,W1-M,2019-07-01
CH190129,W2-T,2019-07-01
CH190130,W2-M,2019-07-01
CH190131,W3-T,2019-07-01
CH190132,W3-M,2019-07-01
CH190133,W4-T,2019-07-01
CH190134,W4-M,2019-07-01
CH190135,W5-T,2019-07-01
CH190136,W5-M,2019-07-01
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
